"Prefiero escribir la literatura como arma feminista: Dolores Bolio Cantarell (1880-1970), Beatriz Peniche Barrera (1893-1976), Rosario Sansores Pren (1889-1972) y Holda Novelo Cuevas (1895-1972 en Yucatán","Montalván Colón, Eugenia"
"Atlas de México, 1910-2010","Sordo Cedeño, Reynaldo"
Patrón de asentamientos prehispánicos en la parte central del Bajo Balsas: un ensayo metodológico,"González Crespo, Norberto"
Promesas de inmortalidad,"Muñiz, Humberto"
Promesas de inmortalidad,"Muñiz, Humberto"
De frente al perfil: retratos faciales de Frederick Starr,"Poole, Deborah (editor)"
Rostros heroicos para el 2010: pintura popular morelense,"Hidalgo Domínguez, Fernando E."
Poemas en tierra de dos soles,"Loya Loya, Dora Luz"
Sueño de amantes,"Reyes Aguirre, Ofelia"
"Miguel de la Madrid Hurtado: el hombre, el candidato sus ideas","Ezcurdia, Mario"
Juegos cruzados,"Ayala Gándara, Valdemar"
Tromba,"Alvarado, Luis Javier"
Raíces de sangre y oro,"Gaona, Miguel"
Tifón: un lobo de mar lucha contra una tormenta ,"Conrad, Joseph"
Sistema religioso-político y las expulsiones en Chamula,"López Meza, Antonio"
Peregrinación de nuestros antepasados,"López González, Juan"
La canción del pirata: vida y embarques del bribón Cantueso. Novela,"Quiñones, Fernando"
De los gremios al sindicalismo: genealogía corporativa,"Bracho, Julio"
El teatro en mi vida,"Montoya, María Teresa"
Raíces históricas de las estructuras distributivas de América Latina,"Di Filippo, Armando"
Principales falacias económicas que destruyen a México,"Navarro Vázquez, Agustín"
Organización Administrativa y Política de la República Mexicana,"Chellet Osante, Roberto"
Feminismo y racismo. Los miedos de María Ríos Cárdenas,"García Peña, Ana Lidia"
"Diccionario de historia, geografía y biografía sonorense","Almada, Francisco R."
Resumen de historia del Estado de Chihuahua,"Almada, Francisco R."
Cuestiones internacionales de México: una bibliografía,"Cosío Villegas, Daniel"
Reminiscences of the mexican revolution,"O´hea, Patrick"
Francisco Villa y la Revolución,"Cervantes M., Federico"
Tercero y cuarto Batallones Rojos en la revolución de 1915,"Saldaña Bernal, Ruth Delfina"
El águila y la serpiente,"Guzmán, Martín Luis"
"Revolución mexicana, 1910-1920","Ulloa, Berta"
Resumen de historia del Estado de Chihuahua,"Almada, Francisco R."
Álvaro Obregón: ocho mil kilómetros en campaña,Francisco L. Urquizo y Francisco J. Grajales (estudios preliminares)
Los doblados de Tomóchic,"Saborit, Antonio"
Justice  by insurance: the general Indian Court of Colonial Mexico and the legal aides of the Half-Real,"Borah, Woodrow Wilson"
Cocaine: global histories,"Gootenberg, Paul"
"Agrarian radicalism in Veracruz, 1920-38","Salamini, Heather Fowler"
Letras en la astrología,"Lugo, José Antonio"
Felipe Ángeles en la revolución: biografía (1869-1919),"Cervantes, Federico"
"Memorias políticas, 1909-1913","Vázquez Gómez, Francisco"
La clase obrera en la historia de México: de la Colonia al Imperio,"Florescano, Enrique"
Catálogo de publicaciones Instituto Nacional de Estudios Históricos de la Revolución Mexicana 1991 ,INEHRM
 The transformation of rural Mexico: reforming the ejido sector,"Cornelius, Wayne A."
Siete personajes en la explanada de los héroes,"Flores Longoria, Samuel"
Francisco de Miranda y Rusia,"Alperóvich, Moiséi"
"Insurgencia y contrainsurgencia en Zacatecas, 1810-1813","Sánchez Tagle, Héctor"
Paisajes rebeldes: una larga noche de rebelión indígena,Jane-Dale Lloyd y Laura Pérez Rosales (Coord.)
Cola de lagartija,"Valenzuela, Luisa"
"Soledad compartida: una historia de maestros, 1908-1910","Galván de Terrazas, Luz Elena"
"México: fiestas cívicas, familiares, laborales y nuevos festejos","Zarauz López, Héctor L."
"Madero, el otro","Solares, Ignacio"
La clase obrera en la historia de México: de la colonia al imperio,"Florescano, Enrique"
Los diezmos de San Luis de la Paz: economía en una región del bajío en el siglo XVIII,"Rabell Romero, Cecilia Andrea"
La campana de Dolores,"Alcocer, Alfonso"
Blood ties: life and violence in rural Mexico,"Greenberg, James Brian"
"Protestants and the mexican revolution: missionaries, ministers, and social change","Baldwin, Deborah J."
Latin America in basic historical collections: a working,"Bartley, Russell H."
"Ideas, valores y tradiciones: ensayos sobre historia de la educación en México","Bazant, Milada"
Tras bambalinas: 25 años de políticas culturales y salud en la danza profesional oficial mexicana,"Bastien van der Meer, Kena"
Alberto Cervantes y la historia del bolero en México,"Flores Longoria, Samuel"
"Cuentos, recuentos y encuentros en la historia mexicana","Bazanta, Milada (coord.)"
La ópera en México de 1924 a 1984: testimonio operístico,"Díaz Du-Pond, Carlos"
"Sistemas hidráulicos, modernización de la agricultura y migración","Viqueira Landa, Carmen (Coord.)"
Memorias mexicanas. Mi diario VI (1912-1919): mucho de mi vida y algo de la de otros,"Gamboa, Federico"
"Colección de documentos para la historia de la Diócesis de Aguascalientes. Vol. III, Siglo XIX","Gutiérrez G., José Antonio"
Ante los ojos de Desirée,"Reyes Heroles, Federico"
La intervención francesa en México: la historia de la expedición militar francesa enviada por Napoleón III para establecer el Segundo Imperio Mexicano,"Garfias M., Luis"
Los hombres de la revolución,"Moreno, Daniel"
Evolución de una sociedad rural,"Lomnitz-Adler, Claudio"
"Memoria mexicana, ensayo sobre la reconstrucción del pasado: Época Prehispánica 1821","Florescano, Enrique"
José María Cos: escritos políticos ,"Lemoine Villicaña, Ernesto"
Verdad y leyenda de Pancho Villa: vida y hechos del famosos personaje de la revolución mexicana,"Garfias M., Luis"
"Chihuahua: sociedad, economía, política y cultura","Orozco Orozco, Víctor"
"Pueblos indios, élites y territorio. Sistemas de dominio regional en el sur de México: una historia política de Oaxaca","Bailón Corres, Moisés Jaime"
"Juan Ruiz de Alarcón ante la crítica, en las colecciones y en los acervos documentales","Peña, Margarita"
Ferrocarriles y obras publicas,"Kuntz Ficker, Sandra"
"El principio, 1968-1988: años de rebeldía","Pérez Arce Ibarra, Francisco"
Historia de la revolución en Tabasco. Tomo I,"Taracena, Alfonso"
Ajuste económico y política social en México,"González Tiburcio, Enrique"
Fox & Co.: biografía no autorizada,"Granados Chapa, Miguel Ángel"
Entre el poder y la revolución: el gobierno interino de Francisco León de la Barra,"Ávila Espinosa, Felipe Arturo"
La revolución en Chiapas. Índice de documentos existentes en el archivo General de la Nación de la Ciudad de México: fondo: Francisco I. Madero,"Ruiz Abreu, Carlos"
Hacia una historia latinoamericana: homenaje a Álvaro Jara ,"Quiroz, Enriqueta (Coord.)"
La montaña en el paisaje ritual,"Broda, Johanna (Coord.)"
Fuentes hemerográficas jaliscienses para el estudio de la revolución mexicana,"Vaca, Agustín"
Alfabeto y enseñanzas domesticas: el arte de ser maestra rural en el Valle del Mezquital,"López, Oresta"
Elecciones en el México del siglo XIX: las prácticas. Tomo I,"Gantús, Fausta (Coord.)"
Elecciones en el México del siglo XIX: las prácticas. Tomo II,"Gantús, Fausta (Coord.)"
Contribución a un dialogo abierto: cinco ensayos de historia electoral latinoamericana,"Gantús, Fausta (Coord.)"
"Cuando las armas hablan, los impresos luchan, la exclusión agrede…violencia electoral en México, 1812-1912","Gantús, Fausta (Coord.)"
Jerónimo Arango: un empresario moderno,"Herrero, Carlos"
Prensa y elecciones: formas de hacer política en el México del siglo XIX,"Gantús, Fausta"
Elecciones en el México del siglo XIX,"Gantús, Fausta"
"Pensar, ser y hacer feminismo en Jalapa, Veracruz: voces desde la experiencia y la disidencia","Juárez Cortés, Jessica Viridiana"
"Pensar, ser y hacer feminismo en Jalapa, Veracruz: voces desde la experiencia y la disidencia","Juárez Cortés, Jessica Viridiana"
"Activismos políticos contemporáneos: juventudes, movilizaciones y comunicación en Guadalajara","Avalos, González, Juan Manuel"
"Activismos políticos contemporáneos: juventudes, movilizaciones y comunicación en Guadalajara","Avalos, González, Juan Manuel"
"La Comisión Nacional de Libros de Texto Gratuitos en el sexenio del presidente Adolfo López Mateos, 1959-1964","Hernández Luna, Juan"
Episodios mexicanos: México en la hoguera,"Gill, Mario"
México en un himno: génesis e historia del Himno Nacional Mexicano,"Cid y Mulet, Juan"
México a la luz del pensamiento obrero: historia contemporánea 1910,"Ortega Arenas, Juan"
Universidad Nacional y Economía,"Blanco, José (Coord.)"
"Estados Unidos: intervención y poder mesiánico. La guerra fría en Guatemala, 1954","Valdés Ugalde, José Luis"
